If you watched,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5,Recommendation 6,Recommendation 7,Recommendation 8,Recommendation 9,Recommendation 10
[Webinar] PMI | Project Management Institute,[PDUs] Webinars Gravados realizados pelo PMI São Paulo e pela FIXE,[Event] Palestra Competitive Strategy and Competition,[Webinar] OCTAGON GP: Uma ferramenta facilitadora para análise de projeto,12 Agile principles,[Books] Biblioteca FIXE: Sugestões de Leitura,Adobe CQ/Adobe AEM,Adobe CQ/Adobe AEM,Gartner Reprint,Tom Brady: Business Guru. Who Knew?,[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera
"""It's time for self-directed 'smart' investing"" - An Interview With Swanest CEO Silvan Schumacher - Smart Money Smart Living",Australian Bitcoin Entrepreneur Launches Robo-Advice Platform,Is FinTech Forcing Banking to a Tipping Point?,What's next for China's booming fintech sector?,#FinTech is all about human-centred design - Chris Skinner's blog,Banks Need To Collaborate With Bitcoin and Fintech Developers,UBS targets less rich Brits with robo-advisor platform,The Future of Digital Banking is Now,Infographic Dutch Fintech Scene - HollandFintech.com,UK Regulators Declare Start of,The omnichannel customer experience is poised to take off in regulated industries
Create a Slack Bot to Interact with Your Wiki,How to Start a Telegram Bot With PHP,Develop your first Facebook messenger bot in PHP,How will bots make money? Here are 7 business models,How bot-to-bot could soon replace APIs,To bot or not to bot,Building a Facebook Chat Bot with Node and Heroku,TechCrunch launches a personalized news recommendations bot on Facebook Messenger,Introducing Mini Courses with MS Chatbots,Slack and Google announce partnership focused on better integrating their services,Bot Engine
AWS Certified Solutions Architect Professional – Study Guide – Domain 8.0: Cloud Migration and Hybrid Architecture (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 1.0 – High Availability and Business Continuity (15%),Spark comparison: AWS vs. GCP,AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,Google Cloud Platform for AWS Professionals,What's the Best Cloud? Probably GCP,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts"
AWS Certified Solutions Architect Professional – Study Guide – Domain 7.0: Scalability and Elasticity (15%),Serverless real-time architecture on AWS: there is a way !,Java 8 Streams : 10 missing features,"Stream processing, Event sourcing, Reactive, CEP... and making sense of it all","Stream processing, Event sourcing, Reactive, CEP... and making sense of it all - Confluent",AWS Certified Solutions Architect Professional – Study Guide – Domain 8.0: Cloud Migration and Hybrid Architecture (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),Reactive log stream processing with RxJava - Part I,Microservices: Real Architectural Patterns,AWS Certified Solutions Architect Professional – Study Guide – Domain 1.0 – High Availability and Business Continuity (15%),"Building A Modern, Scalable Backend: Modernizing Monolithic Applications"
Onde está o duplo diamante do DT em projetos ágeis,Quando o Scrum irá falhar - Tableless,Design Sprint: onde o design e a velocidade importam,[Books] Biblioteca FIXE: Sugestões de Leitura,O tênue equilíbrio da equipe que desenha produtos digitais,"diagramas para entender, criar, inovar e empreender: 3","SINAIS do FUTURO imediato: #1, internet das coisas",O que é benchmarking? Veja quando um concorrente se torna inspiração!,Especialistas trazem tendências de UX para 2017 - KingHost,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/"
"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",Live Event: Unveiling the GitLab Master Plan,The future of SaaS hosted git repository pricing,GitLab.com melts down after backup fail and data loss,Trends in Version Control Land: Innersourcing,5 open-source alternatives to Slack,[Kanban Boards] Is Pinnery the Better Trello?,"Open Source Won. So, Now What?",Trello Is Being Acquired By Atlassian,Making open source data more available,"A whole new GitHub Universe: announcing new tools, forums, and features"
Google's Tensor Processing Unit explained: this is what the future of computing looks like,Google supercharges machine learning tasks with TPU custom chip,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Google launches distributed version of its TensorFlow machine learning system,How real businesses are using machine learning,"Google Cloud Machine Learning family grows with new API, editions and pricing",Celebrating TensorFlow's First Year,Machine Learning Is No Longer Just for Experts,Google's Cloud Machine Learning service is now in public beta,5 Skills You Need to Become a Machine Learning Engineer | Udacity
Economia Colaborativa: a tendência que está mudando o mercado,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,O que é benchmarking? Veja quando um concorrente se torna inspiração!,"SINAIS do FUTURO imediato: #1, internet das coisas",Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Neoliberalismo a ideologia na raiz de todos os nossos problemas,Olhando para o futuro: 5 pontos de atenção,Dicas para aumentar produtividade: 14 dicas incríveis.,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país"
Degraus para o sucesso: a inovação no core do negócio,O que é benchmarking? Veja quando um concorrente se torna inspiração!,Olhando para o futuro: 5 pontos de atenção,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",Especialistas trazem tendências de UX para 2017 - KingHost,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/","SINAIS do FUTURO imediato: #1, internet das coisas","""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",A arte de encantar clientes: 5 lições que aprendemos com a Disney 
Revista PROGRAMAR nº 53 - Agosto de 2016,Teori afasta Eduardo Cunha do mandato na Câmara,Webinar: A Internet das Coisas no Brasil,A saga do jovem CEO da Dasa,[Books] Biblioteca FIXE: Sugestões de Leitura,"Reestruturada, Dasa vai abrir 50 pontos e negocia aquisições",Desenvolvimento Efetivo na Plataforma Microsoft: o livro.,"Desenvolvendo Android, por onde começar? - Android Dev BR",Black Friday salva o ano do e-commerce,"Quer reclamar? Desenvolvedores vencem hackathon com app para ""choro livre"" - Startups",Confira as novidades apresentadas no Google I/O 2016
"At eBay, Machine Learning is Driving Innovative New Approaches to Search Experiences",How real businesses are using machine learning,5 Skills You Need to Become a Machine Learning Engineer | Udacity,Machine Learning Is No Longer Just for Experts,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Machine Learning for Designers,Clarifying the uses of artificial intelligence in the enterprise,Machine learning is a poor fit for most businesses,Stop Coding Machine Learning Algorithms From Scratch - Machine Learning Mastery,"Google Cloud Machine Learning family grows with new API, editions and pricing"
Apple Music festival will kick off on September 18,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,"Apple, Set to Move to Its Spaceship, Should Try More Moonshots",What to Expect at WWDC 2016,Today in Apple history: 'Here's to the crazy ones...' | Cult of Mac,An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel,Apple's secret strategy: Underpromise and overdeliver,The End Of Apple Man,How Apple Keyboards Lost a Logo and Windows PCs Gained One,Introducing the new Google Play Music,MacBook Pro Lineup Set For 'Most Significant Overhaul in Over 4 Years'
"Bids for Apple-1 computer built by Steve Jobs pass $500,000",Today in Apple history: 'Here's to the crazy ones...' | Cult of Mac,"Apple, Set to Move to Its Spaceship, Should Try More Moonshots",An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Apple's secret strategy: Underpromise and overdeliver,How Apple Keyboards Lost a Logo and Windows PCs Gained One,What to Expect at WWDC 2016,Today in Apple history: Steve Jobs resigns as Apple CEO,The End Of Apple Man,Apple Adds to Vintage Software Collection With eBay Purchase
Quick Tip: Working with the JavaScript Battery API,This Battery-Free Computer Sucks Power Out Of Thin Air,15 Interesting JavaScript and CSS Libraries for October 2016,Apple Debuts Wireless 'AirPods' With 5 Hours of Music Playback,15 Interesting JavaScript and CSS Libraries for September 2016,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",Leveling Up Your JavaScript -,The Rise of the API-based SaaS,Most Interesting APIs in 2016: Cognitive Computing,Amazon now has a programmable Dash Button for the IoT
How Netflix does A/B testing - InVision Blog,How Netflix does A/B Testing - uxdesign.cc - User Experience Design,How Netflix does A/B Testing - uxdesign.cc - User Experience Design,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,7 Mistakes Most Beginners Make When A/B Testing,Why 5 is the magic number for UX usability testing,How to overcome UX challenges with product design sprints,"Netflix says Geography, Age, and Gender are ""Garbage"" for Predicting Taste",How to write a hypothesis,Time to Re-Think Design Thinking,The Future of Business is Design
How Netflix does A/B Testing - uxdesign.cc - User Experience Design,How Netflix does A/B Testing - uxdesign.cc - User Experience Design,How Netflix does A/B testing - InVision Blog,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,7 Mistakes Most Beginners Make When A/B Testing,"Netflix says Geography, Age, and Gender are ""Garbage"" for Predicting Taste",Why 5 is the magic number for UX usability testing,How to overcome UX challenges with product design sprints,How to write a hypothesis,Standing on the Shoulders of Giants - Built to Adapt,Time to Re-Think Design Thinking
gotwarlost/istanbul,Creating Code Coverage Reports for Unit and Integration Tests With the JaCoCo Maven Plugin,Clean Coder Blog,Microservices testing,Cookbook,Practical End-to-End Testing with Protractor,Leveling Up Your JavaScript -,A step-by-step guide to agile growth experiments,The Top 10 Most Common Mistakes That Node.js Developers Make,One weird trick that will change the way you code forever: JavaScript TDD,"How to Build and Publish ES6 Modules Today, with Babel and Rollup"
I've had the chance to troll Donald Trump. But I didn't.,America's allies are preparing for a bumpy ride,What A Difference 2 Percentage Points Makes,Managing ambient type definitions and dealing with the,10 Simple Habits of Insanely Productive People,Seniority,Bitcoin Future: When GBPcoin of Branson Wins Over USDcoin of Trump,Being A Developer After 40 - Free Code Camp,Leveling Up Your JavaScript -,A Harvard Psychologist Says This Trait Matters Most: 10 Ways to Make a Great First Impression,So long MVP. Hello Minimum Loveable Product.
"Rakuten Acquires Bitnet, Plans to Open Blockchain Lab in Northern Ireland - Crowdfund Insider",Rakuten é premiada como melhor plataforma de e-commerce do varejo brasileiro,Red Hat OpenShift Blockchain Initiative Focuses On Ethereum,From fine wine to lotteries: Blockchain tech takes off - BBC News,Blockchain Huge Potential For The Insurance Industry,"Walt Disney Now Loves Blockchain, Going Trustless in Seattle",The Blockchain is the new Google,How Blockchain Technology Can Improve the Insurance Industry,Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel,IEEE to Talk Blockchain at Cloud Computing Oxford-Con - CoinDesk,Decentralizing IoT networks through blockchain
12 JavaScript Hacks,The Top 10 Most Common Mistakes That Node.js Developers Make,Leveling Up Your JavaScript -,Exploring Java's Hidden Costs,What to look for in a code review ,What Color is Your Function?,Writing good code: how to reduce the cognitive load of your code,Hotpatching a C Function on x86,Apache Spark as a Compiler: Joining a Billion Rows on your Laptop: A deep dive into the new Tungsten Engine.,Things you probably didn't know you could do with Chrome's Developer Console,Promises | Web Fundamentals - Google Developers
AI Is Here to Help You Write Emails People Will Actually Read,20 Percent Will Stop Reading Your Email If You Make This One Mistake,Email Isn't The Thing You're Bad At,Hiri wants to fix the workplace email problem,These 17 life hacks will change the way you use Gmail,Google Is About to Supercharge Its TensorFlow Open Source AI,Andrew Ng: What AI Can and Can't Do,Here's how The White House wants the U.S. to approach AI R&D,Deep learning will be huge - and here's who will dominate it,Exclusive: Why Microsoft is betting its future on AI,Clarifying the uses of artificial intelligence in the enterprise
Tipos de teste com usuários explicados em GIFs,Testes unitários vs aceitação - Android Dev BR,Como o Trello foi de 4 a 17 milhões de usuários,Dicas para aumentar produtividade: 14 dicas incríveis.,7 motivos para você acordar às 5 da manhã - Tudo Pela Arte,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,O tênue equilíbrio da equipe que desenha produtos digitais,Vídeos motivacionais: os 21 vídeos mais incríveis.,Quando o Scrum irá falhar - Tableless,O futuro das interfaces: Chatbots - Tableless
Quake 3 Arena e o método Fast InvSqrt(),Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Confira as novidades apresentadas no Google I/O 2016,"SINAIS do FUTURO imediato: #1, internet das coisas",Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,Dicas para aumentar produtividade: 14 dicas incríveis.,A saga do jovem CEO da Dasa,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país",Especialistas trazem tendências de UX para 2017 - KingHost
The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,The rise of APIs,The Rise of the API-based SaaS,Most Interesting APIs in 2016: Cognitive Computing,Using Microservices Architecture as API Enablement Strategy,Standing on the Shoulders of Giants - Built to Adapt,Introducing the Google API Console,A Tale of 2 API Platforms - GGV Capital,"Google Cloud Endpoints now generally available: a fast, scalable API gateway",Taking Microservices Home - NGINX,The Java 8 API Design Principles
71 erros de vocabulário e pronúncia em inglês que você faz,71 erros de português que precisam sumir dos seus e-mails,Vídeos motivacionais: os 21 vídeos mais incríveis.,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,Cinco competências comportamentais para você ser um bom líder,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,7 motivos para você acordar às 5 da manhã - Tudo Pela Arte,"Tenho várias ideias de negócios, qual devo levar adiante?","SINAIS do FUTURO imediato: #1, internet das coisas",O que é benchmarking? Veja quando um concorrente se torna inspiração!,Dicas para aumentar produtividade: 14 dicas incríveis.
Pinterest Acquires Read-It-Later App Instapaper,Pinterest Reinvents Itself to Prove It's Really Worth Billions,What Pinterest learned in two years working on its search engine,How Pinterest Uses Machine Learning To Keep Its Users Pinned,"When not to quit, according to the founder of an $11 billion startup that took a while to get off the ground",Pinterest's Real-World Pins Let In-Store Shoppers Save Real Items to Virtual Boards,"Pinterest acquires the team behind Fleksy, a custom iOS and Android keyboard","Google I/O 2016: Develop, Grow & Earn",Bots won't replace apps. Better apps will replace apps.,The Business Case for Progressive Web Apps,The End Of Apps As We Know Them - Inside Intercom
Today in Apple history: Steve Jobs resigns as Apple CEO,Today in Apple history: Steve Jobs passes away | Cult of Mac,Today in Apple history: Steve Jobs passes away | Cult of Mac,Apple's secret strategy: Underpromise and overdeliver,10 things we learned from Tim Cook's most revealing interview yet | Cult of Mac,Today in Apple history: 'Here's to the crazy ones...' | Cult of Mac,Today in Apple history: World prepares for the NeXT Computer | Cult of Mac,"Apple, Set to Move to Its Spaceship, Should Try More Moonshots",Today in Apple history: Happy birthday Steve Wozniak,An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel,Today in Apple history: iCloud takes our files and photos to the sky | Cult of Mac
"Tim Cook Reaches Five Years as Apple CEO, Unlocks Over $100 Million in Bonuses",Apple's secret strategy: Underpromise and overdeliver,10 things we learned from Tim Cook's most revealing interview yet | Cult of Mac,Today in Apple history: Steve Jobs resigns as Apple CEO,"Apple, Set to Move to Its Spaceship, Should Try More Moonshots",Today in Apple history: 'Here's to the crazy ones...' | Cult of Mac,What to Expect at WWDC 2016,"Bids for Apple-1 computer built by Steve Jobs pass $500,000",An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel,Today in Apple history: Steve Jobs passes away | Cult of Mac,Today in Apple history: Steve Jobs passes away | Cult of Mac
Google: Here's how a software update knocked out our App Engine cloud | ZDNet,Automate deployments and traffic splitting with the App Engine Admin API,Google Cloud Platform for AWS Professionals,Google Cloud Status,Google Cloud Platform: The smart person's guide - TechRepublic,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,Setting Up HTTP(S) Load Balancing,Google connects BigQuery to Google Drive and Sheets,Lessons from a Google App Engine SRE on how to serve over 100 billion requests per day,This 8-Page Website Generated Six-Figures in its First 8 Months - gaps,"Google I/O 2016 Preview: Machine Learning, Virtual Reality And Android N - ARC"
Of prediction and policy,5 Skills You Need to Become a Machine Learning Engineer | Udacity,Machine Learning for Designers,Artificial Intelligence's White Guy Problem,Machine Learning Is No Longer Just for Experts,How real businesses are using machine learning,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Machine learning is a poor fit for most businesses,Clarifying the uses of artificial intelligence in the enterprise,Stop Coding Machine Learning Algorithms From Scratch - Machine Learning Mastery
The new paradigm for human-bot communication,To bot or not to bot,Introduction To Chatbots,How will bots make money? Here are 7 business models,How bot-to-bot could soon replace APIs,Facebook Messenger bots are here and they want to kill apps,How to Start a Telegram Bot With PHP,Chat app Kik launches a bot store and anyone can make bots for it,Why 2016 is shaping up to be the Year of the Bot,Usability Heuristics for Bots - Chatbots Magazine,Introducing Mini Courses with MS Chatbots
Bitcoin / Blockchain,"For Blockchain VCs, the Time for Ethereum Investments Has Come - CoinDesk",Ethereum and Bitcoin Are Market Leaders But Not Competitors,Are you a bitcoin denialist? - Chris Skinner's blog,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel,The Rise And Growth of Ethereum Gets Mainstream Coverage,Blockchain CEO's Business Advice on Bitcoin Startups,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary",Microsoft Continues to Embrace Ethereum & Bitcoin - Bitcoin News,Blockchain won't kill banks: Bitcoin pioneer
"Chatbot lawyer overturns 160,000 parking tickets in London and New York",11 incredible ways UK businesses are using chatbots,Here's 6 helpful chatbots that prove conversation machines can do more than just talk,Introduction To Chatbots,SpotHero is ready for the future of autonomous parking,How Facebook's Big Bet On Chatbots Might Remake The UX Of The Web,What the future will look like when we use chatbots instead of apps,Life Beyond Email: Chatbot Marketing,The 200 billion dollar chatbot disruption,Making Sense of Unstructured Data with Google Cloud NL API,How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene
Gartner Reprint,The Hardest Part About Microservices: Your Data,Organizing for digital acceleration: Making a two-speed IT operating model work,The Definitive Guide to Database Version Control,Introducing Cloud Spanner: a global database service for mission-critical applications,"Stream processing, Event sourcing, Reactive, CEP... and making sense of it all","Stream processing, Event sourcing, Reactive, CEP... and making sense of it all - Confluent",An operating model for company-wide agile development,An operating model for company-wide agile development,1. Why ecommerce matters,NoSQL Performance Benchmarks
Polly.ai raises $1.2 million to help companies poll their employees,Building on Slack Saved Our Startup,Slack and Google announce partnership focused on better integrating their services,How people using Slack to organise their grocery lists is helping it grow,Slack raises $200m at $3.8b valuation for business messaging,Chatbots for work: Troops raises $2.6M to help you use Salesforce,Create a Slack Bot to Interact with Your Wiki,IBM Watson is about to make Slack's chat bot smarter,"Slack debuts message buttons: bots with Trello, Kayak and 10 more to perform tasks in its app",Exclusive: Why Microsoft is betting its future on AI,Introducing Sign in with Slack - Slack Platform Blog
O perfil do líder capaz de gerir equipes de alto desempenho,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/",O que é benchmarking? Veja quando um concorrente se torna inspiração!,Cinco competências comportamentais para você ser um bom líder,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"Ser um bom líder depende de inúmeros fatores. Mas um deles, segundo o inglês Simon Sinek, é importantíssimo: a coragem para proteger as equipes e para arriscar quando necessário",Olhando para o futuro: 5 pontos de atenção,A arte de encantar clientes: 5 lições que aprendemos com a Disney ,Séries com lições sobre empreendedorismo: As 7 melhores!
Text summarization with TensorFlow,Announcing SyntaxNet: The World's Most Accurate Parser Goes Open Source,Machine Learning is Fun! Part 2,Machine Learning for Designers,Generative Models,SyntaxNet in context: Understanding Google's new TensorFlow NLP model | Blog,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur,Approaching (Almost) Any Machine Learning Problem,5 Skills You Need to Become a Machine Learning Engineer | Udacity,ŷhat | Classifying handwritten digits using TensorFlow,Announcing TensorFlow 0.8 - now with distributed computing support!
Apple's Machine Learning Has Cut Siri's Error Rate by a Factor of Two,An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel,Apple Hiring for New Machine Learning Division Following Turi Acquisition,"Apple, Set to Move to Its Spaceship, Should Try More Moonshots",What to Expect at WWDC 2016,"Siri: Once a Flake, Now Key to Apple's Future",WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Ultimate AI battle - Apple vs. Google,What Apple's differential privacy means for your data and the future of machine learning,Today in Apple history: 'Here's to the crazy ones...' | Cult of Mac,Apple's secret strategy: Underpromise and overdeliver
5 formas de tornar-se um Mestre em planejamento com o Portfolio for JIRA,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,Vídeos motivacionais: os 21 vídeos mais incríveis.,7 motivos para você acordar às 5 da manhã - Tudo Pela Arte,Cinco competências comportamentais para você ser um bom líder,[Tools] See how the JIRA Portfolio team uses JIRA Portfolio,"Tenho várias ideias de negócios, qual devo levar adiante?",Quando o Scrum irá falhar - Tableless,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Dicas para aumentar produtividade: 14 dicas incríveis.
[Tools] Trello Custom Fields: How To Maximize Your Board Workflow - Trello Blog,Using Display Suite in Drupal 8: How to Customize Content Pages - WebWash,How to create Trello cards from Slack.,How We Migrated Data into Drupal from Four Different Sources Using the Migrate Module | Acquia,Tracking Multiple Categories in Google Analytics for Content Pages - E-Nor | Google Analytics Blog,[Kanban Boards] Is Pinnery the Better Trello?,Paragraphs,Trello Is Being Acquired By Atlassian,We spent a week making Trello boards load extremely fast. Here's how we did it.,Mark A Trello Card As Done (And Drop The Mic On That Task),"Autofill: What web devs should know, but don't"
"Explorando o novo .NET multiplataforma: ASP.NET Core, .NET Core e EF Core",Programação Reativa Funcional com RxJava,Refactoring to Patterns em Java 8,"Trabalhando com dinheiro no Java, uma visão pragmática da nova money-api",Announcing .NET Core 1.0,TEDxSãoPaulo,Docker e .Net,São Paulo recebe maior evento nacional voltado à educação e discute tecnologia no setor - Startupi,[Books] Biblioteca FIXE: Sugestões de Leitura,Evento em São Paulo traz grandes players do mercado mobile e desafio para startups - Startupi,Aplicações Financeiras Flexíveis através de DSLs na Plataforma Java
Endered e Small World fazeme parceria para remessas de valores através de cartões,Visa traz pagamentos móveis ao Brasil junto com Samsung - Startupi,Mobile Time,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,O Brasil das fintechs: conheça startups nacionais que podem fazer você sair dos bancos,55 fornecedores de TI que apresentarão novidades no Ciab 2016,"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país","Conheça as ferramentas digitais que utilizo na minha empresa para resolver problemas, tornar o...",Por que o Walmart não é Walmart no Brasil,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017"
An introduction to Generative Adversarial Networks (with code in TensorFlow),Generative Models,"Deep Learning for Chatbots, Part 1 - Introduction","Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Approaching (Almost) Any Machine Learning Problem,Bayesian machine learning,"Practical advice for analysis of large, complex data sets",Deep Learning Demystified
Why AI consolidation will create the worst monopoly in US history,"Apple acquires Turi, a machine learning company",Apple Acquires Machine Learning Company Turi For $200 Million,Apple Hiring for New Machine Learning Division Following Turi Acquisition,Andrew Ng: What AI Can and Can't Do,Here's how The White House wants the U.S. to approach AI R&D,"Google, Amazon and the upcoming battle over AI Assistants",Deep learning will be huge - and here's who will dominate it,"Facebook, Amazon, Google, IBM and Microsoft come together to create historic Partnership on AI",An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel,Request for Information: Preparing for the Future of Artificial Intelligence
Apple Adds to Vintage Software Collection With eBay Purchase,"Apple, Set to Move to Its Spaceship, Should Try More Moonshots",An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Today in Apple history: 'Here's to the crazy ones...' | Cult of Mac,What to Expect at WWDC 2016,Apple's secret strategy: Underpromise and overdeliver,How Apple Keyboards Lost a Logo and Windows PCs Gained One,The End Of Apple Man,Ultimate AI battle - Apple vs. Google,"Bids for Apple-1 computer built by Steve Jobs pass $500,000"
14 Cool Drupal 8 modules for site builders | August 2016,Dries Buytaert,Drupal 8.1.0 is now available,Choosing Modules and Themes for Drupal 8,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),The Risks and Rewards of Fully Decoupling Drupal | Acquia,Drupal and ambitious digital experiences,"New blog from Dries: A ""MAP"" for accelerating Drupal 8 adoption",State of Drupal 2016 survey | Dries Buytaert,Drupal 8 Module of the Week: simpleSAMLphp Authentication | Acquia,Dries Distributions remain a growing opportunity for Drupal - Buytaert
Chatbots: Are they better without the chat?,Introduction To Chatbots,How Facebook's Big Bet On Chatbots Might Remake The UX Of The Web,What the future will look like when we use chatbots instead of apps,Life Beyond Email: Chatbot Marketing,CHATBOTS EXPLAINED: Why businesses should be paying attention to the chatbot revolution,Chat app Kik launches a bot store and anyone can make bots for it,Singapore bank wants you to talk to its chatbot to get your banking done,Conversational Banking; from branches to bots. - Chatbots Magazine,WeChat's world,You're Asking Too Much of Chat Bots. Just Let Them Grow Up
Containers - Clean up your House,Automate Docker with the Remote API and Ruby,A Docker Fork: Talk of a Split Is Now on the Table - The New Stack,"Use Docker to build, test and push your Artifacts",Your Docker Agenda for April,Why You Should Stop Installing Your WebDev Environment Locally - Smashing Magazine,Docker Engine 1.11 with runC: Announcing the general availability of the industry's first OCI-compliant runtime,Docker inside docker and overview about Jenkins 2,Docker Swarm,Docker 1.12: Now with Built-in Orchestration!,Microsoft expands its support for Docker containers
"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Especialistas trazem tendências de UX para 2017 - KingHost,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,[Books] Biblioteca FIXE: Sugestões de Leitura,As expectativas das mulheres da Geração Y são muitas,Dicas para aumentar produtividade: 14 dicas incríveis.,O machismo também mora nos detalhes - Think Olga,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"SINAIS do FUTURO imediato: #1, internet das coisas",A saga do jovem CEO da Dasa
